fra	nnb
Un homme seul et vulgaire vaut mieux qu’une meute nombreuse et débile.	Omundu mughum'awithe ndundi nene oko kikumula ekyabandu abathawith'obulhengekania.
Le chevalier et le dragon décidèrent de laisser de côté épée et souffle de feu et de discuter de leurs différents.	Omulwi nenzoka mobayitha eritheka emihamba ya hisi neriomobakania okosyombaza syabo.
Ca me rend malade.	Kikandethera obulwere.
Pourriez-vous me rappeler de téléphoner à mon conseiller académique demain à 21 heures  ?	Wangananyibukiri'eribirikira oko simu omuhani waghe owe kiyiro omonziakya oko sahisathu ?
Aidez Hugo à charger le camion.	Muwathikaye Hugo erihindul'ekiheka.
On joue au cowboy et à l'Indien ? Je m'autoproclame shérif et vous devez tous m'obéir.	Thukasath'okondesyabalwana nokomasath'awabahindi ? Ngayihulamo mwami na ngambimwanganzikia.
On a utilisé les mathématiques pour calculer comment avait été formé l'univers immédiatement avant et après le Big Bang.	 Mothuka kolhesaya emighanzo erihand'akalamu ekihugho ngokya kokothibawa kithi ahonaho embere nenyuma esye Big Bang.
Et ceux que l'on voyait danser étaient pris pour des fous par ceux qui ne pouvaient entendre la musique.	Nabothulwethukasamalhira bakasatha babya ngabasire okobabia isibangow'ehilikiliki.
Je pensais que vous aviez dit que vous ne pouviez pas manger de poisson cru.	Nabia ngalhengekania ngomuwabugha uthi siwangalhia esamaki eyithahire.
Ce qui est effrayant avec cette ère d’Internet, c’est cette tendance à s’imaginer que seules les choses qui ont du sens au niveau mondial auraient une valeur.	Ekikith'obuba okomughulu owe intaneti, ghomughendero ghoweri lhengekania kobindu ebiwithe omuhung'omokihugho kyosi byanga yirire ndundi.
Mais uniquement dans le champs quand personne ne me voit, sinon ce sera une catastrophe.	Alhiwe omo ririma omughulusinyilangirwe nomundu, ebikandibya inibitsibu.
La première chose que vous entendez en arrivant à Vegas est le ching ching ching des machines à sous.	Ekyerimber'ekyo mukowa mwabihik'eVegas ni ching ching ching eye byumano byesyosende.
Nous épluchâmes les archives de police concernant cet incident mais nous ne trouvâmes aucune mention de témoins ayant vu un grand barbu.	Mothwa hatha ebindu byabya byapolhishi ebirebirye olubanza olo alhiwe motwathasunga kyosikyosi ekyabathemwe abalhia langira owesyonderu.
« Oh non ! Mon café a refroidi. » « Je vais tout de suite t'en chercher un autre, mon chéri. »	« Oh iyehe ! Akawakaghe kabiri holoka. » « Ngayakuronderaya hathia hathia akandi, mwanziwaghe. »
Il m'est venu ce matin une idée géniale. Mais ce sont à présent des doutes qui me viennent.	Omoùitsange eno, obulhengekanya obuwene mobuka nyasira. Allhiwe hathia nithika thika ryerikanyasira.
Les enfants de ces temps pensaient que toutes les questions de la vie pouvaient être résolues aussi facilement qu'on recommence un jeu sur ordinateur.	Abana abokomughulu ono bakalhengekanaya ngamabulhio ghosi oghomwibiaho angabere weri landa ryoloryolo ngoko bakakol'enzuko eyobwesa okokisengula.
Lucy était la plus timide et la plus jolie des filles du pays, Caroll le plus brave et le plus noble des garçons du canton.	Lucy avia mundu oyuhuhirire noyutsemesirye kutsivu omo vambesa vosi avomo kihugho, Caroll oghomuhwa nomutheke ghomo balwana bosi omohithatha.
Au salon de maquillage, elle déposa sur une petite table les fleurs qu'on lui avait offertes, considéra durant une seconde son reflet dans le miroir, déboutonna le haut de son corsage et se laissa tomber dans un fauteuil.	Omo kiseng'ekyeriyisambiramo, mwatheka okovuthara vuke amawa aghovamuha, neriverereria omokithondi kighuma ekirimu kiwe omo ekitsatsamíro, nerio amasengula esyobouton esyoluchimba lwiwe nerio mwaghithogheria omokithumbi.
Il tenait dangereusement le carton de gâteaux par le bolduc, un doigt passé dans la boucle, au centre.	Abya inyanawithe luhanyahanya okokikarato ekyovundu, omunwe inyalabir'omoriningitha, omokathikathi.
Il incarne un incorrigible goût de la jactance, une incapacité à résister aux facilités de la pensée toute faite, une obsession de l’intrigue. Bref, de la part d’un ministre, l’irresponsabilité.	Awith'émiyiheko, sialithok'erilabyamalhengekanya awahwerere, oluhehero lomulhimo. Omobikuhi, okwilw'okoluhande lomulhembya, obutsatsambu.
J’ai le regret de vous annoncer que nous n’avons pas donné suite à votre période d’essai.	Nyiwithe obulhighe ngoko sinyitha babwira kosithuthabaha ebikwamire okomughullu waghu owerilhenga.
Lisa en veut à Stan.	Lisa ahitene oko Stan.
Nous avons passé beaucoup de temps à chercher un parking.	Mothuka bugha ndambinyinji thukarondia aho thwangomeka enguruvani.
Heureux est le mortel qui, du monde ignoré, vit content de soi-même en un coin retiré.	Oyutsemire nimuhohi oyo, omokihugho ekithasibwe, akanabia inianatsemire iyowenewene omongonde eyiyiheghulhire.
Je n'ai jamais appris l'allemand, ça ne nous empêche pourtant pas d'échangées des idées en espéranto.	Sindinathigha omubughe weki allemand, sikithathukakirya erithendi kania omokiesperanto.
Est-ce que vous pensez que vous pourrez être à la maison à deux heures et demi ?	Ukalhengekanaya uthi wanganabya eka oko saah'ibir nenusu ?
Toutes les armées du monde rêvent d'avoir un soldat comme Rambo, mais l'ironie c'est que même l'armée américaine n'en a pas un. Rambo n'existe que dans le cinéma.	Obulhasi bosi obomokihugho bwabia bukalhengekania ngavunawithe omulhasi mughuma oyulhinga Rambo, alhiwe omwitheba nobulhasi obwebuamerika sibuwithe nomughuma. Rambo alhi omokisasamira kisa.
Déroule encore tous les fils d'or et prends le vent, espère au soir sauver ton souffle et pars devant ! - Un seul sommeil, si long silence.	Musyalhingola kandi abalume bosi abehoro neryo wimay'ekihunga, namaha owerisabuk'omwighologhol'omuka waghu nerio ulolay'embere ! -Aka ghotseri kaghuma, bulhi kundu obobukuthu.
Le gang est devenu la famille de Sami.	E gang yabiribya kihanda kya Sami.
J'espère que tu plaisantes.	Ngalhengekanaya ngoghukalhetha olutseghetseghe.
Dans l'article d'ouverture de cette série, j'ai défini les concepts fondamentaux que nous pouvons utiliser lorsque nous parlons de greffons.	Omokirango ekyobukinguli omoluthahi olu, mongakanganaya ebinywa bighuma bighum'ebyo thwangana kolhesya omughulu thuka bugha oko mithayi eyeri mathika.
Je hais ce type.	Sinyanzir'omundu oyu.
Si vous voulez me punir à ce propos, ainsi que pour le fait que le Bureau ne respecte pas l'horaire, alors faites-le.	Wamabya iwanzire iwanyisuyira busana nebio, nekyo kusangw'ebiro siyisikaya esyondambi, nikwa kolakyo.
L'instruction est le besoin de tous. La société doit favoriser de tout son pouvoir les progrès de la raison publique, et mettre l'instruction à la portée de tous les citoyens.	Amakangirya nimbangwa syobulhi mundu. Ngambe ekithatha ikiabana akabanga komobuthabalhi obukake obulhengekania, nerihir'amakangirirya ghoko bahimbani bosi.
Le directeur du personnel aimerait faire votre connaissance.	Omukulu owabakolhi athi ngambe inia kusunga.
Merci d’avoir accepté de m’héberger le temps que je trouve un appart. Tu m’enlèves une sacrée épine du pied !	Wasingya eriligherinyikokay'omondambinyirya sungam'obwikalo. Moghuka nyilusayakw'obu̧kú̧t'okughulu !
Je suis contente que tu m'aies invitée à la fête.	Namatsem'okwibyamoghukanyibirikir'oko kisendebele.
Patrick ne sait pas écrire correctement.	Patrick syasi erisaka ndeke.
Ouvre la fenêtre, on meurt de chaud ici.	Kingul'eridirisa, thuka kwira muno nekihuhania.
N'essaie pas ensuite de réduire ta consommation de cigarettes mais, plutôt, ne fume que tes propres cigarettes, n'en sollicite aucune des autres et n'en accepte pas d'eux !	Sighupim'erikehia erimothia riaghu alhiwe, mothay'ethaba eyine yaghu, sighusyabiriraye okosyabandi sighulhighe esyabo !
Dr Hideo Noguchi mourut en Afrique en 1928.	Omunganga Hideo Noguchi mwaholhera omo Africa oko mwaka wekighogne kighuma mahgana mwenda makumi abiri nomunani.
C'est un show à l'américaine.	Nikikangani'oko munyamerika.
Tous les garçons tombent amoureux de Julia.	Abalwana bosi bakanza Julia.
Le comptable de la société a été envoyé en prison pour faux en écritures.	Omwanzi owekibuthe mwaka thwalawa omongomo busana nerikolesya ribi eryebisakire.
Les escargots sont toujours prêts à s'accoupler. Pas besoin de leur passer du Barry White.	Ebikome bikabya kanjikanj'ibinayitheghekeny'erithethana. Sibilaghir'eribilabiri'e Barry White.
L'amour est, comme la médecine, seulement l'art d'aider la nature.	Owanzo, lulhingo vuvalhia, busâ oluhabwa olweri wathikya ekihugho.
Le plus lourd bagage pour un voyageur, c'est une bourse vide.	Omuheke munji owalhithohire oko mughendi, nimushiko owathemo ekindu.
Je ne suis pas sûre que je puisse lui faire confiance.	Sinyilhengekenie nganangana muhiramo amaha.
Je connais quelqu'un avec qui tu travailles.	Nyinasi omundu oyo muka kolanaye.
La radio est trop forte. Baisse le volume.	Ekinimba kighut'omulenge ohondata. kimaya omulhenge.
Je n'aurais jamais dû laisser filer cette occasion.	Sinangalhigha eri labi'akabanga ako.
Aucun de mes camarades de classe ne vit près d'ici.	Sihalhi nomundu oghomokiyiro kyethu nomughuma oyukabuka hano hohakuhi.
Je ne suis pas née ici mais j'y ai passé toute ma prime enfance.	 Nabutirawa kuno alhiwe mona labiriako obwana bwaghe bosi.
Aucun autre élève de la classe n'est aussi génial que lui.	Sihalhi nomwigha nomughuma oghobwenge ngaye.
C'est en voyant un moustique se poser sur ses testicules qu'on réalise qu'on ne peut pas régler tous les problèmes par la violence.	Momwilangir'omububu akayitheka okobiheghe byaghu mothuka langira ngoko esyombanza syosi sisyakasohwa omwilwa.
Quels problèmes ont-elles rencontrés ?	Halhi syombanza syahi esyo balhiasangana ?
""" Teucer, je m'en souviens, banni de son pays, / dans Chypre, alors soumise à notre obéissance, / vint de Bélus mon père implorer la puissance. / Rempli d'un grand projet, de son état nouveau / il voulait que Bélus protégeât le berceau. """	"""Teucer, namibukabyo, abighanwa omokihugho kiwe,/ omo Chypre, neryo  ebithekire okwisikya ryethu,/ mohasisra Bélus thatha waghe mwasaba  obuthoki. / Inyana swire mobyanga kola, omo hali yiwe yihiaka /abyanzire Bélus  inyathehia ekithatha. """
Une exposition à ne rater sous aucun prétexte.	Olukanzy'oluthelhweribalia butsira emiyi hambalhio.
Hey, je peux te parler une seconde ?	Hey, nanganakania naghu omo kathambi ?
Je me souviens de son visage, mais je ne peux pas me souvenir de son nom.	Namebuka obusu bwiwe, alhiwe sinanga syebuka erina riwe.
Quels sont les deux premiers chiffres de votre code postal ?	Nibiahi ebiminyikalo bibiri ebierimbere bye code postal yaghu ?
La connaissance de soi, c'est la descente aux enfers, qui ouvre la voie de l'apothéose.	Eriyiminya, ni thimir'ekulimu, eyikatsingul'enzira yolukengerwa lwabaholi.
Regardez juste le texte surligné à l'écran.	Lhebay'amasako awalhi oko kisesani.
Nos plans ont échoué à la dernière minute.	Ebyothulhia theghekanaya mobika thalukana oko ndulhia.
La révolution que Napoléon fit dans l’âme humaine par la politique et la guerre, Victor Hugo la continua et la compléta par la littérature.	Ebindu bihiaka ebya lhethawa na Napoleon okobunyamundu omwilabira epolitiki na malwa, Victor Hugo mwalolhyabyemulhiro nerisyonyeriagho omo bisako.
Entrerais-tu dans une salle de réunion où se trouvent des gens que tu ne connais pas en disant : « Salut les mecs ! » ? Alors pourquoi le fais-tu sur un site web ?	Wanganingirire omo kiseng'ekyo lukuratho ekirimo abandu aboghuthasi  ighune mubugha ghuthi : « kuthi balhumuna ! » ? Nerio busanaki ukakolabi'oko kibuth'ekye web ?
L'instinct, c'est l'âme à quatre pattes ; la pensée, c'est l'esprit debout.	Omuyikolhero nikirimu ekya maghulu awani; obulhengekania, nikirimu  ekihangene.
Au cours de sa conférence, il parlera de finance, bourse, taux d'intérêt...	Omughulu owolukuratho lwiwe, akandisyakania okobihasa, nokwisoma  buyira nolulhengo lobuhingania...
Aucun amour n'est laid, aucune prison n'est belle.	Sihalhi olwanzo oluthuwene, sihalhi mulhiki oghuwene.
Vous devez lire entièrement et accepter les règles pour avoir le droit de télécharger, d'installer et d'utiliser.	Wangasoma ebyosi nerilhigha ebighenderwak'omwihabwa ehamulhi  yerikuriraby'omo simuyaghu, nerisesabyo n'erikolhesyabio.
Sara a trente et un stylos.	Sara awith'oko hilamu makumi asathu nenguma.
Quels changements attendre de la réalité augmentée pour les enseignes et les magasins ?	Mabindulikania wahi wangalhindirirwa okwe riongeribwa oko biminyikalo nesyo makasini ?
Je me souviens que vous alliez souvent prendre le thé chez Betty, quand vous étiez une petite fille.	Namibuka ngoko ukenda kanzi kanzi etsayi ewa Betty, omughulu wabia kambesa.
Google a décidé de réformer la langue française et colle désormais les « y » et les « a » pour faire « ya», qui ne veut rien dire...	Google mwakayisogha erithasya ghambia omubughe owekifranza  nerihambania esyo « y » nesyo « a » omwikole « ya», ekithe sondyeribugha kindu...
Certains bébés apprennent à nager avant même d'avoir un an.	Abana baghuma baghuma bakigha eritsíha embere bayire nomwaka mughuma.
Il m'a remis son numéro de téléphone sur un bout de papier.	Mwakamba enamba yiw'eyesimu oko kahande akakapapura.
Un jour, ce seront les États-Unis qui feront face à de graves problèmes séparatistes sur leur propre territoire.	kiro kighuma, kikasyabya nibughuma bwebihugho ebye bu amaerika abakasyabya embere syolubanza lunene olwe righabania oko kithatha ekinekyabo.
C'est les Arabes qui nous ont apporté les 1, 2, 3, 4, 5... Sans eux, on en serait encore aux chiffres romains. Vous imaginez la galère ?	Nibaharabu bobathukangiriraya 1, 2, 3, 4, 5... Hathe habo, twangaber'ithune oko mighanzo eyabanya roma. Mwanamalhengekani'amaligho ayo ?
Un suffisant lecteur découvre souvent ès écrits d'autrui des perfections autres que celles que l'auteur y a mises et aperçues, et y prête des sens et des visages plus riches.	Omusomi mughum'akafumbulha kanzi kanzi ebisako byabene  omobukomereri'ebindi ebith'ebyo muhandiki, nerihabi'obusu  obobutheke.
Veuillez laisser un message après le signal sonore ou bien nous jeter des bonbons dans la boîte aux lettres.	Ushighe omulagh'enyuma mulhenge kutse uthughusir'esyo bonbon  omo kilop'ekyosyonzakano.
Je suis navré, je n'ai pas pu vous écrire plus tôt.	Nganyire, monyithitakusakira luba.
J'aurai un entretien avec le professeur à 13 h 30.	Nyinyalwe nyiwithe omukania  nomughalima oko saha irinda ne nusu.
Il vit dans un appartement de luxe près de Central Park.	Mwabia omo mbimbano eyo bughulhi bunen'ehakuhi ne Central Park.
La confiance en soi est une chose saine, tant qu'elle ne rend pas les autres malades.	Eriyihiram'amaha nikibugha, omughulu sikyeyir'abandi mobakoni.
Je vous serais reconnaissant de bien vouloir m'envoyer des renseignements sur votre établissement.	Ngandi kusima okwibya imoghukandumira emyatsi  eyi lhebiry'ebisenge  byenyu.
Je vais sauvegarder ma partie avant d'affronter ce boss.	Ngandighemera oluhande lwagh'embere nyikalhambane nomushungu wawu.
Ce que tu as dans le coeur déteint sur ton visage.	Ekyo ghuwithek'omomuthima kikayikangaya oko busu bwaghu.
Mais, dit-elle en tombant à mes genoux, il y a quelque horrible méprise : je n’aime que toi dans le monde ; tu peux m’en demander les preuves que tu voudras.	Alhiwe, mwabugh'aka lirirokomaru waghe, halhi akalhinga kaghonero : iwe musa yonyanzire  omo kihugho;  wanganambulhia ebika minyisaya ebyosi ngoko wanzire.
J'ai pensé que Ethan allait demander à Henriette de l'accompagner à Boston.	Mongalhengekanaya ngoko Ethan angayiriyabulhya Henriette erimukwamanisy'e Boston.
Il fut pris d'un accès de panique et commença à frapper contre le mur avec les poings.	Mwabiawako no musueko nerio mwalwatsuka eri hindanga oko luhimbo  omo mangume.
Il est tellement ouvert aux impressions qui effleurent à peine le commun des esprits doués et vibrants qu’il trouve cette expression admirable et étrange : « l’oreille voit ».	Niarangwa  oko byanzi  ebikatsemesaya  emithama  eyehakilhi  kwangasabya omulond'oy'owatsemesirie nowa handi : « okuthu  kukalangira ».
L'amour est en France une comédie, en Angleterre une tragédie, en Italie un opéra et en Allemagne un mélodrame.	Ebufranza, olwanzo nibisanda, e Angleterre ni bwithi, E Italia e nikighona ne Allemagne ni byosi.
